property,domain,range
dblp:affiliation,dblp:Creator,xsd:string
dblp:archivedWebpage,dblp:Entity,foaf:Document
dblp:authoredBy,dblp:Publication,dblp:Creator
dblp:authorOf,dblp:Creator,dblp:Publication
dblp:awardWebpage,dblp:Creator,foaf:Document
dblp:bibtexType,dblp:Publication,bibtex:Entry
dblp:coAuthorWith,dblp:Creator,dblp:Creator
dblp:coCreatorWith,dblp:Creator,dblp:Creator
dblp:coEditorWith,dblp:Creator,dblp:Creator
dblp:createdBy,dblp:Publication,dblp:Creator
dblp:creatorName,dblp:Creator,xsd:string
dblp:creatorNote,dblp:Creator,xsd:string
dblp:creatorOf,dblp:Creator,dblp:Publication
dblp:documentPage,dblp:Publication,foaf:Document
dblp:doi,dblp:Publication,xsd:anyUri
dblp:editedBy,dblp:Publication,dblp:Creator
dblp:editorOf,dblp:Creator,dblp:Publication
dblp:formerStreamTitle,dblp:Stream,xsd:string
dblp:hasSignature,dblp:Publication,dblp:Signature
dblp:hasVersion,dblp:Publication,dblp:VersionRelation
dblp:homepage,dblp:Creator,foaf:Document
dblp:homonymousCreator,dblp:Creator,dblp:Creator
dblp:identifier,dblp:Entity,xsd:anyUri
dblp:indexPage,dblp:Stream,foaf:Document
dblp:isbn,dblp:Publication,xsd:anyUri
dblp:iso4,dblp:Stream,xsd:string
dblp:issn,dblp:Stream,xsd:anyUri
dblp:isVersion,dblp:Publication,dblp:VersionRelation
dblp:isVersionOf,dblp:Publication,dblp:Publication
dblp:listedOnTocPage,dblp:Publication,foaf:Document
dblp:monthOfPublication,dblp:Publication,xsd:gMonth
dblp:numberOfCreators,dblp:Publication,xsd:integer
dblp:omid,dblp:Publication,xsd:anyUri
dblp:orcid,dblp:Creator,xsd:anyUri
dblp:pagination,dblp:Publication,xsd:string
dblp:possibleActualCreator,dblp:AmbiguousCreator,dblp:Creator
dblp:predecessorStream,dblp:Stream,dblp:Stream
dblp:primaryAffiliation,dblp:Creator,xsd:string
dblp:primaryCreatorName,dblp:Creator,xsd:string
dblp:primaryDocumentPage,dblp:Publication,foaf:Document
dblp:primaryHomepage,dblp:Creator,foaf:Document
dblp:primaryStreamTitle,dblp:Stream,xsd:string
dblp:proxyAmbiguousCreator,dblp:Creator,dblp:AmbiguousCreator
dblp:publicationNote,dblp:Publication,xsd:string
dblp:publishedAsPartOf,dblp:Publication,dblp:Publication
dblp:publishedBy,dblp:Publication,xsd:string
dblp:publishedIn,dblp:Publication,xsd:string
dblp:publishedInBook,dblp:Publication,xsd:string
dblp:publishedInBookChapter,dblp:Publication,xsd:string
dblp:publishedInJournal,dblp:Publication,xsd:string
dblp:publishedInJournalVolume,dblp:Publication,xsd:string
dblp:publishedInJournalVolumeIssue,dblp:Publication,xsd:string
dblp:publishedInSeries,dblp:Publication,xsd:string
dblp:publishedInSeriesVolume,dblp:Publication,xsd:string
dblp:publishedInStream,dblp:Publication,dblp:Stream
dblp:publishersAddress,dblp:Publication,xsd:string
dblp:relatedStream,dblp:Stream,dblp:Stream
dblp:signatureCreator,dblp:Signature,dblp:Creator
dblp:signatureDblpName,dblp:Signature,xsd:string
dblp:signatureOrcid,dblp:Signature,xsd:anyUri
dblp:signatureOrdinal,dblp:Signature,xsd:integer
dblp:signaturePublication,dblp:Signature,dblp:Publication
dblp:streamTitle,dblp:Stream,xsd:string
dblp:subStream,dblp:Stream,dblp:Stream
dblp:successorStream,dblp:Stream,dblp:Stream
dblp:superStream,dblp:Stream,dblp:Stream
dblp:thesisAcceptedBySchool,dblp:Publication,xsd:string
dblp:title,dblp:Publication,xsd:string
dblp:versionConcept,dblp:VersionRelation,dblp:Publication
dblp:versionInstance,dblp:VersionRelation,dblp:Publication
dblp:versionLabel,dblp:VersionRelation,xsd:string
dblp:versionOrdinal,dblp:VersionRelation,xsd:integer
dblp:versionUri,dblp:VersionRelation,xsd:anyUri
dblp:webpage,dblp:Entity,foaf:Document
dblp:wikidata,dblp:Entity,xsd:anyUri
dblp:wikipedia,dblp:Entity,foaf:Document
dblp:yearOfEvent,dblp:Publication,xsd:gYear
dblp:yearOfPublication,dblp:Publication,xsd:gYear
