id,question_string,query,template_id,entities,relations,temporal,help_out
Q0001,What are the papers written by the person Wazir Muhammad?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/211/3355> },TC01,"[""<https://dblp.org/pid/211/3355>""]","[""<https://dblp.org/rdf/schema#authoredBy>""]",False,False
Q0002,What is the Wikidata ID of Yvo Desmedt?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/d/YvoDesmedt> <https://dblp.org/rdf/schema#wikidata> ?answer },TC04,"[""<https://dblp.org/pid/d/YvoDesmedt>""]","[""<https://dblp.org/rdf/schema#wikidata>""]",False,False
Q0003,What is the primary affiliation of Leandro Krug Wives?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/w/LeandroKrugWives> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },TC02,"[""<https://dblp.org/pid/w/LeandroKrugWives>""]","[""<https://dblp.org/rdf/schema#primaryAffiliation>""]",False,False
Q0004,What is the webpage of Ravi Kumar?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/k/RaviKumar> <https://dblp.org/rdf/schema#webpage> ?answer },TC05,"[""<https://dblp.org/pid/k/RaviKumar>""]","[""<https://dblp.org/rdf/schema#webpage>""]",False,False
Q0005,"Which publications did Lambe, Larry A. author?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/13/378> },TC01,"[""<https://dblp.org/pid/13/378>""]","[""<https://dblp.org/rdf/schema#authoredBy>""]",False,False
Q0006,Mention the primary affiliation of Jo\u00E3o Marcos Travassos Romano.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/20/4410> <https://dblp.org/rdf/schema#primaryAffiliation> ?answer },TC02,"[""<https://dblp.org/pid/20/4410>""]","[""<https://dblp.org/rdf/schema#primaryAffiliation>""]",False,False
Q0007,Show the Wikidata ID of the person Martin Zachariasen.,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/97/5868> <https://dblp.org/rdf/schema#wikidata> ?answer },TC04,"[""<https://dblp.org/pid/97/5868>""]","[""<https://dblp.org/rdf/schema#wikidata>""]",False,False
Q0008,Which publications did Nicholas D. Lane author?,SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/03/2663> },TC01,"[""<https://dblp.org/pid/03/2663>""]","[""<https://dblp.org/rdf/schema#authoredBy>""]",False,False
Q0009,"Which papers did the author Nishikawa, Ken'ya write?",SELECT DISTINCT ?answer WHERE { ?answer <https://dblp.org/rdf/schema#authoredBy> <https://dblp.org/pid/124/9189> },TC01,"[""<https://dblp.org/pid/124/9189>""]","[""<https://dblp.org/rdf/schema#authoredBy>""]",False,False
Q0010,What is the webpage of the person Nic V.?,SELECT DISTINCT ?answer WHERE { <https://dblp.org/pid/44/3693> <https://dblp.org/rdf/schema#webpage> ?answer },TC05,"[""<https://dblp.org/pid/44/3693>""]","[""<https://dblp.org/rdf/schema#webpage>""]",False,False
