"p","label"
"http://www.w3.org/2002/07/owl#equivalentClass","equivalentClass"
"http://www.w3.org/2002/07/owl#equivalentProperty","equivalentProperty"
"http://www.w3.org/2002/07/owl#complementOf","complementOf"
"http://www.w3.org/2002/07/owl#unionOf","unionOf"
"http://www.w3.org/2002/07/owl#imports","imports"
"http://www.w3.org/2002/07/owl#versionInfo","versionInfo"
"http://www.w3.org/2002/07/owl#priorVersion","priorVersion"
"http://orkg.org/orkg/predicate/P85006"," Misleading Content (Training size)"
"http://orkg.org/orkg/predicate/ADMINISTERED_TO","administered to"
"http://orkg.org/orkg/predicate/AFFECTS","affects"
"http://orkg.org/orkg/predicate/AUGMENTS","augments"
"http://orkg.org/orkg/predicate/CAUSES","causes"
"http://orkg.org/orkg/predicate/COEXISTS_WITH","coexists with"
"http://orkg.org/orkg/predicate/COMPARED_WITH","compared with"
"http://orkg.org/orkg/predicate/CSVW_Name","name"
"http://orkg.org/orkg/predicate/DATA","Data"
"http://orkg.org/orkg/predicate/DIAGNOSES","diagnoses"
"http://orkg.org/orkg/predicate/DISRUPTS","disrupts"
"http://orkg.org/orkg/predicate/HAS_APPROACH","approach"
"http://orkg.org/orkg/predicate/HAS_BENCHMARK","has benchmark"
"http://orkg.org/orkg/predicate/HAS_DATASET","has dataset"
"http://orkg.org/orkg/predicate/HAS_EVALUATION","evaluation"
"http://orkg.org/orkg/predicate/HAS_IMPLEMENTATION","implementation"
"http://orkg.org/orkg/predicate/HAS_METHOD","method"
"http://orkg.org/orkg/predicate/HAS_METRIC","metric"
"http://orkg.org/orkg/predicate/HAS_MODEL","has model"
"http://orkg.org/orkg/predicate/HAS_ORCID","Has ORCID"
"http://orkg.org/orkg/predicate/HAS_RESULT","has result"
"http://orkg.org/orkg/predicate/HAS_RESULTS","result"
"http://orkg.org/orkg/predicate/HAS_SOURCE_CODE","has source code"
"http://orkg.org/orkg/predicate/HAS_VALUE","value"
"http://orkg.org/orkg/predicate/HAS_VENUE","venue"
"http://orkg.org/orkg/predicate/HasEntity","has entity"
"http://orkg.org/orkg/predicate/HasEntry","Has entry"
"http://orkg.org/orkg/predicate/HasEvaluation","Has evaluation"
"http://orkg.org/orkg/predicate/HasHeadingLevel","Has heading level"
"http://orkg.org/orkg/predicate/HasLink","has link"
"http://orkg.org/orkg/predicate/HasList","Has list"
"http://orkg.org/orkg/predicate/HasPaper","has paper"
"http://orkg.org/orkg/predicate/HasReference","has reference"
"http://orkg.org/orkg/predicate/HasSection","has section"
"http://orkg.org/orkg/predicate/HasVideo","Has video"
"http://orkg.org/orkg/predicate/INHIBITS","inhibits"
"http://orkg.org/orkg/predicate/INTERACTS_WITH","interacts with"
"http://orkg.org/orkg/predicate/Image","Image"
"http://orkg.org/orkg/predicate/InstanceOfTemplate","Instance Of Template"
"http://orkg.org/orkg/predicate/IsAnonymized","is anonymized"
"http://orkg.org/orkg/predicate/MANIFESTATION_OF","manifestation of"
"http://orkg.org/orkg/predicate/MATERIAL","material"
"http://orkg.org/orkg/predicate/METHOD","method"
"http://orkg.org/orkg/predicate/OBI:OBI_0001938","has value specification"
"http://orkg.org/orkg/predicate/OCCURS_IN","occurs in"
"http://orkg.org/orkg/predicate/P0","addresses"
"http://orkg.org/orkg/predicate/P1","yields"
"http://orkg.org/orkg/predicate/P10","DOI"
"http://orkg.org/orkg/predicate/P1000","uses library"
"http://orkg.org/orkg/predicate/P1001","uses graph"
"http://orkg.org/orkg/predicate/P1002","uses framework"
"http://orkg.org/orkg/predicate/P1003","url"
"http://orkg.org/orkg/predicate/P1004","model"
"http://orkg.org/orkg/predicate/P1005","method"
"http://orkg.org/orkg/predicate/P1006","result"
"http://orkg.org/orkg/predicate/P1007","experiment"
"http://orkg.org/orkg/predicate/P1008","conducted at"
"http://orkg.org/orkg/predicate/P1009","participants"
"http://orkg.org/orkg/predicate/P11","problem"
"http://orkg.org/orkg/predicate/P12","solution"
"http://orkg.org/orkg/predicate/P13","use case"
"http://orkg.org/orkg/predicate/P14","description"
"http://orkg.org/orkg/predicate/P15","implementation"
"http://orkg.org/orkg/predicate/P15001","related to"
"http://orkg.org/orkg/predicate/P15002","has GenBank accession number"
"http://orkg.org/orkg/predicate/P15003","has source"
