comparisonIRI,comparisonLabel
R6948,Summarization before 2002
R75363,Pulsed electric field (PEF) treatment for bioactive compounds extraction
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R8364,Semantic representations of scholarly communication
R155621,"Examples of cyclodextrin-containing formulations for drug delivery via ocular, nasal and pulmonary routes"
R78023,Comparison of scholarly knowledge graphs
R110393,The Use of Silicon Carbide Thin Films in Different Device Types
R58002,Invasion Biology- Enemy release hypothesis
R8342,Ontologies for describing scholarly articles
"R155561 ",Assessment of picophytoplankton abundance in the Ocean
R8364,Semantic representations of scholarly communication
R135371,Comparison of Impact of Covid-19 on mobility behaviour
R69027,Toxins produced by phytopathogenic Pseudomonas species and pathovars
R113171,Comparison of Scenario Factsheets from the Open Energy Platform
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R110597,Sources of major ion evolution in groundwater chemistry of developing urban areas
R110932,Comparison of the frequency of obstructive sleep apnea (OSA) in patients with mucopolysaccharidosis (MPS)
R44978,Brief psychotherapy for depression studies
R8342,Ontologies for describing scholarly articles
R70642,Survey of most suitable computational intelligence technique for prediction of Sepsis using physiological data as features
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R155266,Fullerene-based photocatalysts in organic pollutants degradation
R78492,The effect of the COVID-19 pandemic on well-being
R34845,Results of studies on embryonic eggshell thickness erosion in three groups of birds representing different developmental modes
R155272,"Transforming lignin-derived monomers to catechol, phenol, and benzene by heterogeneous catalysts"
R150337; R153801,Comparison of Scenario Factsheets from the Open Energy Platform; Comparison of Studies on Germany's Energy Supply in 2050
R110361,Pilot mini collection of studies on libraries as third places.
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R25900,Catalysts for the Liquid-Phase Hydrogenation of Alkynes overview
R44930,COVID-19 Reproductive Number Estimates
R155445,Mineralogical analysis of Mars in Visible-infrared wavelength range of electromagnetic spectrum using MRO's CRISM-3
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R155154,A review of Airborne visible/infrared imaging spectrometer- Next Generation (AVIRIS-NG) hyperspectral images for the identification and characterization of minerals
R44980,Trends and methodological implications of psychodrama psychotherapy research
R6751,Graph-based author name disambiguation
R8342,Ontologies for describing scholarly articles
R6898,QA evaluations on QALD-6
R33008,Prevalence of chromosome 1 abnor- malities in hematologic malignancies
R8364,Semantic representations of scholarly communication
R112387,Overview of Approaches that Classify User Feedback as Feature Request
R144364,Different nanocarriers used as drug delivery vehicles for the CNS
R68871,Comparison of prognostic atmospheric variables of CMIP5 GCMs
R149849,Genetic variability (COI variation) in studies large sampled (>1000 sequences)
R6187,Semi-supervised author name disambiguation
R138374,Comparison of flexible piezoresistive pressure sensors based on different materials
R75638,Anuran antimicrobial peptides activity and mechanism against different biological membranes
R111045,Rare-earth complexes and their applications
R75729,Prevalence of epilepsy in Europe
R44979,Comparison of studies related to psychotherapeutic interventions in cancer
R112387,Overview of Approaches that Classify User Feedback as Feature Request
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R151435,Characteristics of Biosensors Based on ZnO One-Dimensional Nanostructures
R153801,Comparison of Studies on Germany's Energy Supply in 2050
R6946,QA evaluations on QALD-5
R137086,Catalytic activation of C-O bond
R155584,Assessment of picophytoplankton abundance in the Indian Ocean
R150337,Comparison of Scenario Factsheets from the Open Energy Platform
R34493,Cost functions estimation for port sector
R8364,Semantic representations of scholarly communication
