predicate,frequency
orkgp:HAS_DATASET,2461
orkgp:HAS_BENCHMARK,2122
orkgp:HAS_MODEL,1701
orkgp:HAS_EVALUATION,1490
orkgp:HAS_METRIC,1147
orkgp:HAS_VALUE,813
orkgp:HAS_SOURCE_CODE,554
orkgp:P31,380
orkgp:P32,84
orkgp:compareContribution,64
orkgp:P30,9
orkgp:P43135,8
orkgp:P27,7
orkgp:P37586,6
orkgp:P29,6
orkgp:P7046,4
orkgp:P34,4
orkgp:P43134,4
orkgp:P43133,4
orkgp:P5015,3
orkgp:P7034,3
orkgp:P37675,3
orkgp:P5003,2
orkgp:P3004,2
orkgp:P7035,2
orkgp:P41923,2
orkgp:P28,2
orkgp:P37668,2
orkgp:P41568,2
orkgp:P39010,2
orkgp:P4077,2
orkgp:P7055,1
orkgp:P7047,1
orkgp:P7056,1
orkgp:P7049,1
orkgp:P5008,1
orkgp:P2005,1
orkgp:P5025,1
orkgp:P15,1
orkgp:P5043,1
orkgp:P2006,1
orkgp:P15687,1
orkgp:P37557,1
orkgp:P37537,1
orkgp:HAS_METHOD,1
orkgp:P23031,1
orkgp:P7038,1
orkgp:P7042,1
orkgp:P5002,1
orkgp:P5004,1
orkgp:P5006,1
orkgp:P7009,1
orkgp:P15512,1
orkgp:P16013,1
orkgp:P36089,1
orkgp:P9040,1
orkgp:P34037,1
orkgp:P35194,1
orkgp:P37530,1
orkgp:P37528,1
orkgp:P37458,1
orkgp:P37663,1
orkgp:P15483,1
orkgp:P5049,1
orkgp:P37571,1
orkgp:P7144,1
orkgp:P26032,1
orkgp:P31024,1
orkgp:P15249,1
orkgp:P23169,1
orkgp:P23161,1
orkgp:P23140,1
orkgp:P23154,1
orkgp:P15006,1
orkgp:P36075,1
orkgp:P37029,1
orkgp:P18037,1
orkgp:P36,1
orkgp:P35147,1
orkgp:P35148,1
orkgp:P15051,1
orkgp:P15661,1
orkgp:P15585,1
orkgp:P15692,1
orkgp:P15090,1
orkgp:P35205,1
orkgp:P37581,1
orkgp:P43138,1
orkgp:P43139,1
orkgp:P41068,1
orkgp:P27029,1
orkgp:P37041,1
orkgp:P37578,1
orkgp:P41379,1
orkgp:P43149,1
orkgp:P43148,1
orkgp:P43156,1
orkgp:P41006,1
orkgp:P43095,1
orkgp:P37524,1
orkgp:P43146,1
orkgp:P37583,1
orkgp:P37343,1
orkgp:P4059,1
orkgp:description,1
orkgp:SAME_AS,1
orkgp:P43093,1
orkgp:P42011,1
orkgp:P41242,1
orkgp:P24009,1
orkgp:P5038,1
orkgp:P41740,1
orkgp:P41743,1
orkgp:P41333,1
orkgp:P41021,1
orkgp:P41022,1
orkgp:P37560,1
